source,target,type
DaRealAmberRose,NicoleShanahan,follow_back_within_seed
DaRealAmberRose,JanJekielek,follow_back_within_seed
NASAKennedy,NOAA,follow_back_within_seed
GavinNewsom,BarackObama,follow_back_within_seed
GavinNewsom,nytimes,follow_back_within_seed
GavinNewsom,jack,follow_back_within_seed
GavinNewsom,charliekirk11,follow_back_within_seed
GavinNewsom,thehill,follow_back_within_seed
jaketapper,alfranken,follow_back_within_seed
jaketapper,SenRandPaul,follow_back_within_seed
nprpolitics,DonaldJTrumpJr,follow_back_within_seed
nprpolitics,EricTrump,follow_back_within_seed
nprpolitics,NPRextra,follow_back_within_seed
TeamTrump,EricTrump,follow_back_within_seed
TeamTrump,MariaBartiromo,follow_back_within_seed
HawleyMO,realDonaldTrump,follow_back_within_seed
HawleyMO,DonaldJTrumpJr,follow_back_within_seed
HawleyMO,RobertKennedyJr,follow_back_within_seed
HawleyMO,ggreenwald,follow_back_within_seed
HawleyMO,Riley_Gaines_,follow_back_within_seed
HawleyMO,joelpollak,follow_back_within_seed
drdrew,DonaldJTrumpJr,follow_back_within_seed
drdrew,ericbolling,follow_back_within_seed
drdrew,adamcarolla,follow_back_within_seed
drdrew,DowdEdward,follow_back_within_seed
drdrew,AaronSiriSG,follow_back_within_seed
drdrew,HighWireTalk,follow_back_within_seed
drdrew,JanJekielek,follow_back_within_seed
drdrew,DrKellyVictory,follow_back_within_seed
drdrew,kylekemper,follow_back_within_seed
TheDemocrats,BarackObama,follow_back_within_seed
ggreenwald,nytimes,follow_back_within_seed
ggreenwald,TheOnion,follow_back_within_seed
ggreenwald,andersoncooper,follow_back_within_seed
ggreenwald,jack,follow_back_within_seed
ggreenwald,thehill,follow_back_within_seed
ggreenwald,jaketapper,follow_back_within_seed
ggreenwald,nprpolitics,follow_back_within_seed
ggreenwald,TheDemocrats,follow_back_within_seed
ggreenwald,chamath,follow_back_within_seed
ggreenwald,DavidSacks,follow_back_within_seed
ggreenwald,greta,follow_back_within_seed
ggreenwald,ericbolling,follow_back_within_seed
ggreenwald,cenkuygur,follow_back_within_seed
chamath,PressSec,follow_back_within_seed
chamath,DavidSacks,follow_back_within_seed
chamath,Jason,follow_back_within_seed
chamath,SenatorTimScott,follow_back_within_seed
chamath,friedberg,follow_back_within_seed
chamath,HHS_Jim,follow_back_within_seed
AnimalPlanet,WWF,follow_back_within_seed
VigilantFox,BarackObama,follow_back_within_seed
VigilantFox,realDonaldTrump,follow_back_within_seed
VigilantFox,stephenasmith,follow_back_within_seed
VigilantFox,GavinNewsom,follow_back_within_seed
VigilantFox,drdrew,follow_back_within_seed
VigilantFox,ggreenwald,follow_back_within_seed
VigilantFox,chamath,follow_back_within_seed
VigilantFox,DavidSacks,follow_back_within_seed
VigilantFox,GrantCardone,follow_back_within_seed
VigilantFox,Jason,follow_back_within_seed
VigilantFox,adamcarolla,follow_back_within_seed
VigilantFox,TheChiefNerd,follow_back_within_seed
PressSec,realDonaldTrump,follow_back_within_seed
PressSec,NASA,follow_back_within_seed
PressSec,SenMullin,follow_back_within_seed
PressSec,SusieWiles,follow_back_within_seed
PBS,NPRextra,follow_back_within_seed
PBS,PBSNature,follow_back_within_seed
RapidResponse47,realDonaldTrump,follow_back_within_seed
RapidResponse47,DOGE,follow_back_within_seed
RapidResponse47,PressSec,follow_back_within_seed
RapidResponse47,SecKennedy,follow_back_within_seed
Riley_Gaines_,realDonaldTrump,follow_back_within_seed
Riley_Gaines_,DonaldJTrumpJr,follow_back_within_seed
Riley_Gaines_,charliekirk11,follow_back_within_seed
Riley_Gaines_,RobertKennedyJr,follow_back_within_seed
Riley_Gaines_,SenTedCruz,follow_back_within_seed
Riley_Gaines_,HawleyMO,follow_back_within_seed
Riley_Gaines_,PressSec,follow_back_within_seed
Riley_Gaines_,RapidResponse47,follow_back_within_seed
Riley_Gaines_,MarshaBlackburn,follow_back_within_seed
Riley_Gaines_,DavidSacks,follow_back_within_seed
TPUSA,charliekirk11,follow_back_within_seed
TPUSA,RobertKennedyJr,follow_back_within_seed
TPUSA,ericbolling,follow_back_within_seed
TPUSA,daveweigel,follow_back_within_seed
TPUSA,joelpollak,follow_back_within_seed
MarshaBlackburn,BarackObama,follow_back_within_seed
MarshaBlackburn,nytimes,follow_back_within_seed
MarshaBlackburn,StephenAtHome,follow_back_within_seed
MarshaBlackburn,andersoncooper,follow_back_within_seed
MarshaBlackburn,RobertKennedyJr,follow_back_within_seed
MarshaBlackburn,DOGE,follow_back_within_seed
MarshaBlackburn,thehill,follow_back_within_seed
MarshaBlackburn,jaketapper,follow_back_within_seed
MarshaBlackburn,HawleyMO,follow_back_within_seed
MarshaBlackburn,PressSec,follow_back_within_seed
MarshaBlackburn,RapidResponse47,follow_back_within_seed
MarshaBlackburn,Riley_Gaines_,follow_back_within_seed
DavidSacks,BarackObama,follow_back_within_seed
DavidSacks,nytimes,follow_back_within_seed
DavidSacks,richardbranson,follow_back_within_seed
DavidSacks,jack,follow_back_within_seed
DavidSacks,CoryBooker,follow_back_within_seed
DavidSacks,chamath,follow_back_within_seed
DavidSacks,Jason,follow_back_within_seed
DavidSacks,SenatorTimScott,follow_back_within_seed
DavidSacks,friedberg,follow_back_within_seed
DavidSacks,joelpollak,follow_back_within_seed
BearGrylls,EricTrump,follow_back_within_seed
BearGrylls,GrantCardone,follow_back_within_seed
NOAA,NASAKennedy,follow_back_within_seed
NOAA,USGS,follow_back_within_seed
NOAA,noaaocean,follow_back_within_seed
World_Wildlife,sciam,follow_back_within_seed
World_Wildlife,WWF,follow_back_within_seed
World_Wildlife,ONECampaign,follow_back_within_seed
World_Wildlife,NOAA,follow_back_within_seed
World_Wildlife,NWF,follow_back_within_seed
World_Wildlife,RnfrstAlliance,follow_back_within_seed
World_Wildlife,Defenders,follow_back_within_seed
World_Wildlife,TreehuggerTwo,follow_back_within_seed
GrantCardone,TheChiefNerd,follow_back_within_seed
GrantCardone,SenRickScott,follow_back_within_seed
GrantCardone,Eric_Schmitt,follow_back_within_seed
P_McCulloughMD,DonaldJTrumpJr,follow_back_within_seed
P_McCulloughMD,RobertKennedyJr,follow_back_within_seed
P_McCulloughMD,drdrew,follow_back_within_seed
P_McCulloughMD,VigilantFox,follow_back_within_seed
P_McCulloughMD,GrantCardone,follow_back_within_seed
P_McCulloughMD,ericbolling,follow_back_within_seed
P_McCulloughMD,TheChiefNerd,follow_back_within_seed
P_McCulloughMD,DrAseemMalhotra,follow_back_within_seed
P_McCulloughMD,SenRonJohnson,follow_back_within_seed
P_McCulloughMD,stkirsch,follow_back_within_seed
P_McCulloughMD,PierreKory,follow_back_within_seed
P_McCulloughMD,MartinKulldorff,follow_back_within_seed
P_McCulloughMD,mercola,follow_back_within_seed
P_McCulloughMD,AndersonAfDMdEP,follow_back_within_seed
P_McCulloughMD,DowdEdward,follow_back_within_seed
P_McCulloughMD,delbigtree,follow_back_within_seed
greta,MariaBartiromo,follow_back_within_seed
SecKennedy,realDonaldTrump,follow_back_within_seed
Jason,BarackObama,follow_back_within_seed
Jason,jack,follow_back_within_seed
Jason,chamath,follow_back_within_seed
Jason,DavidSacks,follow_back_within_seed
Jason,friedberg,follow_back_within_seed
BGatesIsaPyscho,realDonaldTrump,follow_back_within_seed
BGatesIsaPyscho,NASA,follow_back_within_seed
BGatesIsaPyscho,TheOnion,follow_back_within_seed
BGatesIsaPyscho,jack,follow_back_within_seed
BGatesIsaPyscho,ggreenwald,follow_back_within_seed
BGatesIsaPyscho,chamath,follow_back_within_seed
BGatesIsaPyscho,DavidSacks,follow_back_within_seed
BGatesIsaPyscho,Jason,follow_back_within_seed
NYTScience,richardbranson,follow_back_within_seed
NYTScience,jack,follow_back_within_seed
NYTScience,World_Wildlife,follow_back_within_seed
NYTScience,greenpeaceusa,follow_back_within_seed
NYTScience,RnfrstAlliance,follow_back_within_seed
NYTScience,afreedma,follow_back_within_seed
NSF,BarackObama,follow_back_within_seed
NSF,NASA,follow_back_within_seed
NSF,oceanexplorer,follow_back_within_seed
alfranken,RollingStone,follow_back_within_seed
adamcarolla,BarackObama,follow_back_within_seed
adamcarolla,realDonaldTrump,follow_back_within_seed
adamcarolla,nytimes,follow_back_within_seed
adamcarolla,DonaldJTrumpJr,follow_back_within_seed
adamcarolla,funnyordie,follow_back_within_seed
adamcarolla,barstoolsports,follow_back_within_seed
adamcarolla,charliekirk11,follow_back_within_seed
adamcarolla,RobertKennedyJr,follow_back_within_seed
adamcarolla,stoolpresidente,follow_back_within_seed
adamcarolla,drdrew,follow_back_within_seed
TheChiefNerd,realDonaldTrump,follow_back_within_seed
TheChiefNerd,NASA,follow_back_within_seed
TheChiefNerd,nytimes,follow_back_within_seed
TheChiefNerd,jack,follow_back_within_seed
TheChiefNerd,stephenasmith,follow_back_within_seed
TheChiefNerd,drdrew,follow_back_within_seed
TheChiefNerd,ggreenwald,follow_back_within_seed
TheChiefNerd,chamath,follow_back_within_seed
TheChiefNerd,VigilantFox,follow_back_within_seed
TheChiefNerd,TPUSA,follow_back_within_seed
TheChiefNerd,DavidSacks,follow_back_within_seed
DrAseemMalhotra,charliekirk11,follow_back_within_seed
DrAseemMalhotra,EricTrump,follow_back_within_seed
DrAseemMalhotra,RobertKennedyJr,follow_back_within_seed
DrAseemMalhotra,VigilantFox,follow_back_within_seed
DrAseemMalhotra,PressSec,follow_back_within_seed
DrAseemMalhotra,MariaBartiromo,follow_back_within_seed
DrAseemMalhotra,P_McCulloughMD,follow_back_within_seed
DrAseemMalhotra,SecKennedy,follow_back_within_seed
DrAseemMalhotra,BGatesIsaPyscho,follow_back_within_seed
DrAseemMalhotra,stkirsch,follow_back_within_seed
DrAseemMalhotra,ZacharyLevi,follow_back_within_seed
DrAseemMalhotra,PierreKory,follow_back_within_seed
DrAseemMalhotra,NicoleShanahan,follow_back_within_seed
DrAseemMalhotra,MartinKulldorff,follow_back_within_seed
DrAseemMalhotra,DowdEdward,follow_back_within_seed
DrAseemMalhotra,delbigtree,follow_back_within_seed
DrAseemMalhotra,joelpollak,follow_back_within_seed
cenkuygur,nytimes,follow_back_within_seed
cenkuygur,StephenAtHome,follow_back_within_seed
cenkuygur,thehill,follow_back_within_seed
cenkuygur,GavinNewsom,follow_back_within_seed
cenkuygur,jaketapper,follow_back_within_seed
cenkuygur,ggreenwald,follow_back_within_seed
cenkuygur,chamath,follow_back_within_seed
cenkuygur,Riley_Gaines_,follow_back_within_seed
cenkuygur,DavidSacks,follow_back_within_seed
cenkuygur,greta,follow_back_within_seed
cenkuygur,Jason,follow_back_within_seed
SenatorTimScott,BarackObama,follow_back_within_seed
SenatorTimScott,realDonaldTrump,follow_back_within_seed
SenatorTimScott,CoryBooker,follow_back_within_seed
SenatorTimScott,thehill,follow_back_within_seed
SenatorTimScott,jaketapper,follow_back_within_seed
SenatorTimScott,PressSec,follow_back_within_seed
SenatorTimScott,RapidResponse47,follow_back_within_seed
SenatorTimScott,MariaBartiromo,follow_back_within_seed
SenatorTimScott,MarshaBlackburn,follow_back_within_seed
SenatorTimScott,NOAA,follow_back_within_seed
SenatorTimScott,greta,follow_back_within_seed
SenatorTimScott,alfranken,follow_back_within_seed
SenatorTimScott,SenRonJohnson,follow_back_within_seed
SenatorTimScott,daveweigel,follow_back_within_seed
USGS,NASA,follow_back_within_seed
USGS,NOAA,follow_back_within_seed
SenRickScott,realDonaldTrump,follow_back_within_seed
SenRickScott,DonaldJTrumpJr,follow_back_within_seed
SenRickScott,charliekirk11,follow_back_within_seed
SenRickScott,DOGE,follow_back_within_seed
SenRickScott,CoryBooker,follow_back_within_seed
SenRickScott,PressSec,follow_back_within_seed
SenRickScott,RapidResponse47,follow_back_within_seed
SenRickScott,Riley_Gaines_,follow_back_within_seed
SenRickScott,ONECampaign,follow_back_within_seed
SenRickScott,SecKennedy,follow_back_within_seed
SenRickScott,SenatorTimScott,follow_back_within_seed
SenRickScott,SusieWiles,follow_back_within_seed
SenRonJohnson,realDonaldTrump,follow_back_within_seed
SenRonJohnson,NASA,follow_back_within_seed
SenRonJohnson,RobertKennedyJr,follow_back_within_seed
SenRonJohnson,DOGE,follow_back_within_seed
SenRonJohnson,CoryBooker,follow_back_within_seed
SenRonJohnson,thehill,follow_back_within_seed
SenRonJohnson,jaketapper,follow_back_within_seed
SenRonJohnson,HawleyMO,follow_back_within_seed
SenRonJohnson,drdrew,follow_back_within_seed
SenRonJohnson,ggreenwald,follow_back_within_seed
SenRonJohnson,VigilantFox,follow_back_within_seed
SenRonJohnson,PressSec,follow_back_within_seed
SenRonJohnson,RapidResponse47,follow_back_within_seed
SenRonJohnson,MariaBartiromo,follow_back_within_seed
SenRonJohnson,MarshaBlackburn,follow_back_within_seed
SenRonJohnson,DavidSacks,follow_back_within_seed
SenRonJohnson,greta,follow_back_within_seed
SenRonJohnson,SecKennedy,follow_back_within_seed
stkirsch,realDonaldTrump,follow_back_within_seed
stkirsch,jack,follow_back_within_seed
stkirsch,charliekirk11,follow_back_within_seed
stkirsch,RobertKennedyJr,follow_back_within_seed
stkirsch,CoryBooker,follow_back_within_seed
stkirsch,drdrew,follow_back_within_seed
stkirsch,MikeBloomberg,follow_back_within_seed
stkirsch,VigilantFox,follow_back_within_seed
stkirsch,DavidSacks,follow_back_within_seed
stkirsch,GrantCardone,follow_back_within_seed
stkirsch,BGatesIsaPyscho,follow_back_within_seed
stkirsch,TheChiefNerd,follow_back_within_seed
stkirsch,DrAseemMalhotra,follow_back_within_seed
stkirsch,SenRonJohnson,follow_back_within_seed
stkirsch,PierreKory,follow_back_within_seed
ZacharyLevi,charliekirk11,follow_back_within_seed
ZacharyLevi,RobertKennedyJr,follow_back_within_seed
ZacharyLevi,jaketapper,follow_back_within_seed
ZacharyLevi,drdrew,follow_back_within_seed
ZacharyLevi,ggreenwald,follow_back_within_seed
PierreKory,BarackObama,follow_back_within_seed
PierreKory,realDonaldTrump,follow_back_within_seed
PierreKory,RobertKennedyJr,follow_back_within_seed
PierreKory,drdrew,follow_back_within_seed
PierreKory,ggreenwald,follow_back_within_seed
PierreKory,VigilantFox,follow_back_within_seed
PierreKory,P_McCulloughMD,follow_back_within_seed
PierreKory,SecKennedy,follow_back_within_seed
PierreKory,BGatesIsaPyscho,follow_back_within_seed
PierreKory,ericbolling,follow_back_within_seed
PierreKory,TheChiefNerd,follow_back_within_seed
PierreKory,DrAseemMalhotra,follow_back_within_seed
PierreKory,SenRonJohnson,follow_back_within_seed
PierreKory,stkirsch,follow_back_within_seed
PierreKory,NicoleShanahan,follow_back_within_seed
PierreKory,MartinKulldorff,follow_back_within_seed
PierreKory,DowdEdward,follow_back_within_seed
bbcworldservice,realDonaldTrump,follow_back_within_seed
